gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
794310;4570000557;1100794310;G4_FLOG_RF1_MEMB_05;G00018;2011
794370;4570000557;1100794370;G4_FLOG_RF1_MEMB_05;G00018;2011
796131;4570000557;1100796131;G4_FLOG_RF1_MEMB_05;G00018;2011
796142;4570000557;1100796142;G4_FLOG_RF1_MEMB_05;G00018;2011
799353;4570000557;1100799353;G4_FLOG_RF1_MEMB_05;G00018;2011
800222;4570000557;1100800222;G4_FLOG_RF1_MEMB_05;G00018;2011
801506;4570000557;1100801506;G4_FLOG_RF1_MEMB_05;G00018;2011
802190;4570000557;1100802190;G4_FLOG_RF1_MEMB_05;G00018;2011
802994;4570000557;1100802994;G4_FLOG_RF1_MEMB_05;G00018;2011
803085;4570000557;1100803085;G4_FLOG_RF1_MEMB_05;G00018;2011
803242;4570000557;1100803242;G4_FLOG_RF1_MEMB_05;G00018;2011
803607;4570000557;1100803607;G4_FLOG_RF1_MEMB_05;G00018;2011
804136;4570000557;1100804136;G4_FLOG_RF1_MEMB_05;G00018;2011
804185;4570000557;1100804185;G4_FLOG_RF1_MEMB_05;G00018;2011
809450;4570000557;1100809450;G4_FLOG_RF1_MEMB_05;G00018;2011
809455;4570000557;1100809455;G4_FLOG_RF1_MEMB_05;G00018;2011
809466;4570000557;1100809466;G4_FLOG_RF1_MEMB_05;G00018;2011
809717;4570000557;1100809717;G4_FLOG_RF1_MEMB_05;G00018;2011
814538;4570000557;1100814538;G4_FLOG_RF1_MEMB_05;G00018;2011
815331;4570000557;1100815331;G4_FLOG_RF1_MEMB_05;G00018;2011
814945;4570000557;1100814945;G4_FLOG_RF1_MEMB_05;G00018;2011
815788;4570000557;1100815788;G4_FLOG_RF1_MEMB_05;G00018;2011
815570;4570000557;1100815570;G4_FLOG_RF1_MEMB_05;G00018;2011
815603;4570000557;1100815603;G4_FLOG_RF1_MEMB_05;G00018;2011
816004;4570000557;1100816004;G4_FLOG_RF1_MEMB_05;G00018;2011
816053;4570000557;1100816053;G4_FLOG_RF1_MEMB_05;G00018;2011
825661;4570000557;16101200825661;G4_FLOG_RF1_MEMB_05;G00018;2012
826464;4570000557;16101200826464;G4_FLOG_RF1_MEMB_05;G00018;2012
823022;4570000557;16101200823022;G4_FLOG_RF1_MEMB_05;G00018;2012
821280;4570000557;16101200821280;G4_FLOG_RF1_MEMB_05;G00018;2012
851989;4570000557;16101200851989;G4_FLOG_RF1_MEMB_05;G00018;2012
856367;4570000557;16101200856367;G4_FLOG_RF1_MEMB_05;G00018;2012
816544;4570000557;16101200816544;G4_FLOG_RF1_MEMB_05;G00018;2012
816622;4570000557;16101200816622;G4_FLOG_RF1_MEMB_05;G00018;2012
856686;4570000557;16101200856686;G4_FLOG_RF1_MEMB_05;G00018;2012
844237;4570000557;16101200844237;G4_FLOG_RF1_MEMB_05;G00018;2012
822914;4570000557;16101200822914;G4_FLOG_RF1_MEMB_05;G00018;2012
825369;4570000557;16101200825369;G4_FLOG_RF1_MEMB_05;G00018;2012
829303;4570000557;16101200829303;G4_FLOG_RF1_MEMB_05;G00018;2012
830603;4570000557;16101200830603;G4_FLOG_RF1_MEMB_05;G00018;2012
858698;4570000557;16101200858698;G4_FLOG_RF1_MEMB_05;G00018;2012
853819;4570000557;16101200853819;G4_FLOG_RF1_MEMB_05;G00018;2012
844931;4570000557;16101200844931;G4_FLOG_RF1_MEMB_05;G00018;2012
824962;4570000557;16101200824962;G4_FLOG_RF1_MEMB_05;G00018;2012
816319;4570000557;1200816319;G4_FLOG_RF1_MEMB_05;G00018;2012
816372;4570000557;1200816372;G4_FLOG_RF1_MEMB_05;G00018;2012
