gysz rövid;rendelésszám;Futó vonalkód sorszáma;Gyártási szám;Anyag;GYÉv;0
00790212;4570000466;99900001556599;44600000790212;G00064;2010;0
00797027;4570000466;99900001533297;44600000797027;G00064;2011;0
00796510;4570000466;99900001550091;44600000796510;G00064;2011;0
00798936;4570000466;99900001441134;44600000798936;G00064;2011;0
00804555;4570000466;99900001580198;44600000804555;G00064;2011;0
00806556;4570000466;99900001344717;44600000806556;G00064;2011;0
00808726;4570000466;99900001581138;44600000808726;G00064;2011;0
00567379;4570000466;99900001538506;27200000567379;G00011;2007;0
00827849;4570000466;99900001581179;44600000827849;G00064;2012;0
00581144;4570000466;99900001540726;27200000581144;G00011;2007;0
00836507;4570000466;99900001556602;44600000836507;G00064;2012;0
00837957;4570000466;99900001580817;44600000837957;G00064;2012;0
00838177;4570000466;99900001598105;44600000838177;G00064;2012;0
00840489;4570000466;99900001344706;44600000840489;G00064;2012;0
00849691;4570000466;99900001598107;44600000849691;G00064;2012;0
00850009;4570000466;99900001583801;44600000850009;G00064;2012;0
00849339;4570000466;99900001539205;44600000849339;G00064;2012;0
00551164;4570000466;99900000909641;27200000551164;G00011;2007;0
00903560;4570000466;99900001581201;44600000903560;G00064;2013;0
00906989;4570000466;99900001593803;44600000906989;G00064;2013;0
00907403;4570000466;99900001441119;44600000907403;G00064;2013;0
00911911;4570000466;99900001593796;44600000911911;G00064;2013;0
00923999;4570000466;99900001424006;44600000923999;G00064;2014;0
00924003;4570000466;99900001424002;44600000924003;G00064;2014;0
00924004;4570000466;99900001423989;44600000924004;G00064;2014;0
00923980;4570000466;99900001424001;44600000923980;G00064;2014;0
00923982;4570000466;99900001424007;44600000923982;G00064;2014;0
00924055;4570000466;99900001584130;44600000924055;G00064;2014;0
00924056;4570000466;99900001584128;44600000924056;G00064;2014;0
00924040;4570000466;99900001584141;44600000924040;G00064;2014;0
00924314;4570000466;99900001528944;44600000924314;G00064;2014;0
00929416;4570000466;99900001584132;44600000929416;G00064;2014;0
00929438;4570000466;99900001424003;44600000929438;G00064;2014;0
00929400;4570000466;99900001584131;44600000929400;G00064;2014;0
00547883;4570000466;99900001539265;27200000547883;G00011;2007;0
00551983;4570000466;99900001580845;27200000551983;G00011;2007;0
00931739;4570000466;99900001528954;44600000931739;G00064;2014;0
00931889;4570000466;99900001423981;44600000931889;G00064;2014;0
00931916;4570000466;99900001424005;44600000931916;G00064;2014;0
00931906;4570000466;99900001424008;44600000931906;G00064;2014;0
00931880;4570000466;99900001424011;44600000931880;G00064;2014;0
00931884;4570000466;99900001423966;44600000931884;G00064;2014;0
00932026;4570000466;99900001534187;44600000932026;G00064;2014;0
00932027;4570000466;99900001534200;44600000932027;G00064;2014;0
00932030;4570000466;99900001534197;44600000932030;G00064;2014;0
00932006;4570000466;99900001837202;44600000932006;G00064;2014;0
00932007;4570000466;99900001837209;44600000932007;G00064;2014;0
00932017;4570000466;99900001837206;44600000932017;G00064;2014;0
00932018;4570000466;99900001837210;44600000932018;G00064;2014;0
00932022;4570000466;99900001837208;44600000932022;G00064;2014;0
00932023;4570000466;99900001837205;44600000932023;G00064;2014;0
00932010;4570000466;99900001837201;44600000932010;G00064;2014;0
00932015;4570000466;99900001534196;44600000932015;G00064;2014;0
00932338;4570000466;99900001439741;44600000932338;G00064;2014;0
00932457;4570000466;99900001424012;44600000932457;G00064;2014;0
00932453;4570000466;99900001423985;44600000932453;G00064;2014;0
00932469;4570000466;99900001424000;44600000932469;G00064;2014;0
00932470;4570000466;99900001424009;44600000932470;G00064;2014;0
00932417;4570000466;99900001423957;44600000932417;G00064;2014;0
00932428;4570000466;99900001423993;44600000932428;G00064;2014;0
00942104;4570000466;99900001437305;44600000942104;G00064;2014;0
00942106;4570000466;99900001437307;44600000942106;G00064;2014;0
00942117;4570000466;99900001437303;44600000942117;G00064;2014;0
00942116;4570000466;99900001437309;44600000942116;G00064;2014;0
00942109;4570000466;99900001583752;44600000942109;G00064;2014;0
00942110;4570000466;99900001437306;44600000942110;G00064;2014;0
00942719;4570000466;99900001531347;44600000942719;G00064;2014;0
00942650;4570000466;99900001584465;44600000942650;G00064;2014;0
00942652;4570000466;99900001584463;44600000942652;G00064;2014;0
00942677;4570000466;99900001584468;44600000942677;G00064;2014;0
00942672;4570000466;99900001584462;44600000942672;G00064;2014;0
26206834;4570000466;99900001580787;32600026206834;G00036;2014;0
00947803;4570000466;99900001583795;44600000947803;G00064;2014;0
00948079;4570000466;99900001540747;44600000948079;G00064;2014;0
00948093;4570000466;99900001540735;44600000948093;G00064;2014;0
00948156;4570000466;99900001537861;44600000948156;G00064;2014;0
00948166;4570000466;99900001537824;44600000948166;G00064;2014;0
00948162;4570000466;99900001600861;44600000948162;G00064;2014;0
00948164;4570000466;99900001537868;44600000948164;G00064;2014;0
00948428;4570000466;99900001540749;44600000948428;G00064;2014;0
00948499;4570000466;99900001584677;44600000948499;G00064;2014;0
00948394;4570000466;99900001556642;44600000948394;G00064;2014;0
00948397;4570000466;99900001556641;44600000948397;G00064;2014;0
00948400;4570000466;99900001529909;44600000948400;G00064;2014;0
00948393;4570000466;99900001556640;44600000948393;G00064;2014;0
00948412;4570000466;99900001529896;44600000948412;G00064;2014;0
00948414;4570000466;99900001529917;44600000948414;G00064;2014;0
00948415;4570000466;99900001529903;44600000948415;G00064;2014;0
00948416;4570000466;99900001529912;44600000948416;G00064;2014;0
00948417;4570000466;99900001529895;44600000948417;G00064;2014;0
00948418;4570000466;99900001529894;44600000948418;G00064;2014;0
00948419;4570000466;99900001529908;44600000948419;G00064;2014;0
00948411;4570000466;99900001529951;44600000948411;G00064;2014;0
00948403;4570000466;99900001529904;44600000948403;G00064;2014;0
00948404;4570000466;99900001529905;44600000948404;G00064;2014;0
00948405;4570000466;99900001529910;44600000948405;G00064;2014;0
00948408;4570000466;99900001529913;44600000948408;G00064;2014;0
00948409;4570000466;99900001580229;44600000948409;G00064;2014;0
00948410;4570000466;99900001529899;44600000948410;G00064;2014;0
00948360;4570000466;99900001529888;44600000948360;G00064;2014;0
00948363;4570000466;99900001529886;44600000948363;G00064;2014;0
00948366;4570000466;99900001529893;44600000948366;G00064;2014;0
00948354;4570000466;99900001529898;44600000948354;G00064;2014;0
00948355;4570000466;99900001529897;44600000948355;G00064;2014;0
00948357;4570000466;99900001529885;44600000948357;G00064;2014;0
00948377;4570000466;99900001529942;44600000948377;G00064;2014;0
00948378;4570000466;99900001529938;44600000948378;G00064;2014;0
00948381;4570000466;99900001556649;44600000948381;G00064;2014;0
00948371;4570000466;99900001529946;44600000948371;G00064;2014;0
00948372;4570000466;99900001580201;44600000948372;G00064;2014;0
00948374;4570000466;99900001529940;44600000948374;G00064;2014;0
00950804;4570000466;99900001425914;44600000950804;G00064;2014;0
00950770;4570000466;99900001425922;44600000950770;G00064;2014;0
00950771;4570000466;99900001425903;44600000950771;G00064;2014;0
00950776;4570000466;99900001425908;44600000950776;G00064;2014;0
00950763;4570000466;99900001425909;44600000950763;G00064;2014;0
00950777;4570000466;99900001425913;44600000950777;G00064;2014;0
00950778;4570000466;99900001425906;44600000950778;G00064;2014;0
00950899;4570000466;99900001563495;44600000950899;G00064;2014;0
00950837;4570000466;99900001600876;44600000950837;G00064;2014;0
00951016;4570000466;99900001427095;44600000951016;G00064;2014;0
00951036;4570000466;99900001425926;44600000951036;G00064;2014;0
00950998;4570000466;99900001425924;44600000950998;G00064;2014;0
00951000;4570000466;99900001425910;44600000951000;G00064;2014;0
